date,event,type
2021-01-08,NFP Release,Employment
2021-02-05,NFP Release,Employment
2021-03-05,NFP Release,Employment
2021-04-02,NFP Release,Employment
2021-05-07,NFP Release,Employment
2021-06-04,NFP Release,Employment
2021-07-02,NFP Release,Employment
2021-08-06,NFP Release,Employment
2021-09-03,NFP Release,Employment
2021-10-08,NFP Release,Employment
2021-11-05,NFP Release,Employment
2021-12-03,NFP Release,Employment
2022-01-07,NFP Release,Employment
2022-02-04,NFP Release,Employment
2022-03-04,NFP Release,Employment
2022-04-08,NFP Release,Employment
2022-05-06,NFP Release,Employment
2022-06-03,NFP Release,Employment
2022-07-08,NFP Release,Employment
2022-08-05,NFP Release,Employment
2022-09-02,NFP Release,Employment
2022-10-07,NFP Release,Employment
2022-11-04,NFP Release,Employment
2022-12-02,NFP Release,Employment
2023-01-06,NFP Release,Employment
2023-02-03,NFP Release,Employment
2023-03-03,NFP Release,Employment
2023-04-07,NFP Release,Employment
2023-05-05,NFP Release,Employment
2023-06-02,NFP Release,Employment
2023-07-07,NFP Release,Employment
2023-08-04,NFP Release,Employment
2023-09-08,NFP Release,Employment
2023-10-06,NFP Release,Employment
2023-11-03,NFP Release,Employment
2023-12-08,NFP Release,Employment
2024-01-05,NFP Release,Employment
2024-02-02,NFP Release,Employment
2024-03-08,NFP Release,Employment
2024-04-05,NFP Release,Employment
2024-05-03,NFP Release,Employment
2024-06-07,NFP Release,Employment
2024-07-05,NFP Release,Employment
2024-08-02,NFP Release,Employment
2024-09-06,NFP Release,Employment
2024-10-04,NFP Release,Employment
2024-11-08,NFP Release,Employment
2024-12-06,NFP Release,Employment
2025-01-03,NFP Release,Employment
2025-02-07,NFP Release,Employment
2025-03-07,NFP Release,Employment
2025-04-04,NFP Release,Employment
2025-05-02,NFP Release,Employment
2025-06-06,NFP Release,Employment
2025-07-04,NFP Release,Employment
2025-08-08,NFP Release,Employment
2025-09-05,NFP Release,Employment
2025-10-03,NFP Release,Employment
2025-11-07,NFP Release,Employment
2025-12-05,NFP Release,Employment
